Time,Location,Population,Susceptible,Infectious,Recovered
0,00,100000.0,0.0,0.0,0.0
0,01,100000.0,0.0,0.0,0.0
0,10,100000.0,0.0,0.0,0.0
0,11,100000.0,0.0,0.0,0.0
1,00,100071.06319135461,0.0,0.0,0.0
1,01,100071.06319135461,0.0,0.0,0.0
1,10,100071.06319135461,0.0,0.0,0.0
1,11,100071.06319135461,0.0,0.0,0.0
2,00,100213.34110926553,0.0,0.0,0.0
2,01,100213.34110926553,0.0,0.0,0.0
2,10,100213.34110926553,0.0,0.0,0.0
2,11,100213.34110926553,0.0,0.0,0.0
3,00,100427.1373628201,0.0,0.0,0.0
3,01,100427.1373628201,0.0,0.0,0.0
3,10,100427.1373628201,0.0,0.0,0.0
3,11,100427.1373628201,0.0,0.0,0.0
4,00,100712.90871504052,0.0,0.0,0.0
4,01,100712.90871504052,0.0,0.0,0.0
4,10,100712.90871504052,0.0,0.0,0.0
4,11,100712.90871504052,0.0,0.0,0.0
5,00,101071.26670967895,0.0,0.0,0.0
5,01,101071.26670967895,0.0,0.0,0.0
5,10,101071.26670967895,0.0,0.0,0.0
5,11,101071.26670967895,0.0,0.0,0.0
6,00,101502.97985287153,0.0,0.0,0.0
6,01,101502.97985287153,0.0,0.0,0.0
6,10,101502.97985287153,0.0,0.0,0.0
6,11,101502.97985287153,0.0,0.0,0.0
7,00,102008.97636055047,0.0,0.0,0.0
7,01,102008.97636055047,0.0,0.0,0.0
7,10,102008.97636055047,0.0,0.0,0.0
7,11,102008.97636055047,0.0,0.0,0.0
8,00,102590.34748536746,0.0,0.0,0.0
8,01,102590.34748536746,0.0,0.0,0.0
8,10,102590.34748536746,0.0,0.0,0.0
8,11,102590.34748536746,0.0,0.0,0.0
9,00,103248.35143982683,0.0,0.0,0.0
9,01,103248.35143982683,0.0,0.0,0.0
9,10,103248.35143982683,0.0,0.0,0.0
9,11,103248.35143982683,0.0,0.0,0.0
